cnpj,user,datetime
08671358000158,rafael.zelak,2024-10-22 17:12:17
08821071000167,rafael.zelak,2024-10-22 17:12:17
17005392000184,rafael.zelak,2024-10-22 17:12:17
40396328000193,rafael.zelak,2024-10-22 17:12:17
41131845000101,rafael.zelak,2024-10-22 17:12:17
43362556000130,rafael.zelak,2024-10-22 17:12:17
08263912000168,rafael.zelak,2024-10-22 17:12:17
04660402000173,rafael.zelak,2024-10-22 17:12:17
33031801000173,rafael.zelak,2024-10-22 17:12:17
13821150000108,rafael.zelak,2024-10-22 17:12:17
06053123000177,rafael.zelak,2024-10-22 17:12:17
21117796000137,rafael.zelak,2024-10-22 17:12:17
07133435000153,rafael.zelak,2024-10-22 17:12:17
04255952000107,rafael.zelak,2024-10-22 17:12:17
14647055000100,rafael.zelak,2024-10-22 17:12:17
43820853000182,rafael.zelak,2024-10-22 17:12:17
04493421000152,rafael.zelak,2024-10-22 17:12:17
53852385000181,rafael.zelak,2024-10-22 17:12:17
18646415000100,rafael.zelak,2024-10-22 17:12:17
06133658000158,rafael.zelak,2024-10-22 17:12:17
35366159000109,rafael.zelak,2024-10-22 17:12:17
